t,event,method,sid,success,reason,src,dst,L,bw,N,num_paths,latency_ms,cost_total,cost_bw,cost_cpu,emp_reli_pred,fail_idx,new_active,topo_size,sfc_len_group
1,place,BEAR-TORCH,1,1,,16,32,3,0.5668526560999316,2,2,3.362532126409482,8.834263280499659,2.834263280499658,6.0,0.998309437205605,,,,
4,place,BEAR-TORCH,2,1,,38,15,7,0.9568615497005322,2,2,4.3875290389056785,18.784307748502663,4.784307748502661,14.0,0.998309437205605,,,,
10,place,BEAR-TORCH,3,1,,26,9,5,0.8846376302210298,2,2,3.6738097703558257,13.538550520884119,3.5385505208841193,10.0,0.9988078092736835,,,,
13,place,BEAR-TORCH,4,1,,5,11,5,0.7684147116388085,2,2,4.88769731245538,15.37890298147166,5.37890298147166,10.0,0.9969065889007802,,,,
14,place,BEAR-TORCH,5,1,,7,16,3,0.8891686920196732,3,3,3.7239893955257464,12.112090422068857,3.112090422068856,9.0,0.9955434275780952,,,,
15,place,BEAR-TORCH,6,1,,5,23,3,0.8519286649676752,4,4,5.05476829937472,15.4077146598707,3.4077146598707007,12.0,0.9867333133235936,,,,
16,place,BEAR-TORCH,7,0,not_enough_disjoint_paths,15,26,3,1.1516487910282098,5,0,,,,,,,,,
17,place,BEAR-TORCH,8,1,,38,14,7,1.3587287557073047,5,5,6.162738632292005,40.095232833902394,5.095232833902392,35.0,0.9782897246086183,,,,
23,place,BEAR-TORCH,9,1,,21,30,5,0.8165773646899348,3,3,5.544868554775535,19.082886823449673,4.082886823449674,15.0,0.9917188269131656,,,,
24,place,BEAR-TORCH,10,0,not_enough_disjoint_paths,37,36,5,1.087648210951756,5,0,,,,,,,,,
26,place,BEAR-TORCH,11,1,,34,14,3,1.072790734424914,5,5,5.108509549418612,18.48656988688097,3.4865698868809702,15.0,0.9830014049870024,,,,
26,failover,BEAR-TORCH,8,1,,38,14,7,,5,,6.162738632292005,,,,,0,,,
28,place,BEAR-TORCH,12,1,,8,30,7,0.784501704086276,3,3,5.827586404933443,24.92250852043138,3.9225085204313794,21.0,0.9917188269131656,,,,
35,place,BEAR-TORCH,13,0,not_enough_disjoint_paths,39,23,7,1.148746979696813,5,0,,,,,,,,,
37,place,BEAR-TORCH,14,1,,7,24,3,0.9432159508899286,4,4,5.255843749923249,14.829647852669787,2.829647852669786,12.0,0.9919793942071111,,,,
38,place,BEAR-TORCH,15,1,,4,36,3,1.0717953174072905,2,2,4.924172435735226,12.430771904443743,6.430771904443743,6.0,0.99760273041997,,,,
45,place,BEAR-TORCH,16,1,,0,14,3,0.9216984847127185,3,3,4.539465599605412,12.225944696494516,3.2259446964945147,9.0,0.9957517622956519,,,,
48,place,BEAR-TORCH,17,1,,21,8,3,0.971094346654909,2,2,4.624006112989573,11.826566079929453,5.826566079929454,6.0,0.99760273041997,,,,
50,place,BEAR-TORCH,18,1,,22,30,5,1.0280958433301075,3,3,6.383465611730477,21.168575059980647,6.168575059980645,15.0,0.988728407143365,,,,
54,place,BEAR-TORCH,19,1,,0,13,5,1.0371786339849058,3,3,6.372429752329513,20.18589316992453,5.18589316992453,15.0,0.9919209789859976,,,,
55,place,BEAR-TORCH,20,0,not_enough_disjoint_paths,20,10,3,1.108651854860606,4,0,,,,,,,,,
57,place,BEAR-TORCH,21,1,,32,25,5,1.1340332387851833,4,4,6.011763941476719,24.914144034735795,4.914144034735794,20.0,0.9850366431195837,,,,
59,place,BEAR-TORCH,22,1,,7,0,3,0.6957890832529259,3,3,3.794146426972032,11.087367249758778,2.0873672497587776,9.0,0.9967172526096819,,,,
60,place,BEAR-TORCH,23,1,,22,8,3,0.6859974992476925,2,2,4.746785824733021,10.115984995486155,4.115984995486155,6.0,0.99760273041997,,,,
62,place,BEAR-TORCH,24,0,not_enough_disjoint_paths,11,16,3,1.016113756986156,4,0,,,,,,,,,
63,place,BEAR-TORCH,25,0,not_enough_disjoint_paths,32,37,5,0.936951231048751,5,0,,,,,,,,,
68,place,BEAR-TORCH,26,1,,38,21,5,0.7804208246937583,2,2,5.360177154990928,14.68252494816255,4.68252494816255,10.0,0.99760273041997,,,,
73,place,BEAR-TORCH,27,1,,27,26,3,1.0883837849410707,3,3,5.274117692853933,13.897727032234819,4.897727032234818,9.0,0.9932481612147593,,,,
74,place,BEAR-TORCH,28,1,,8,20,5,1.3731424414214712,2,2,5.643322857784327,18.23885464852883,8.238854648528827,10.0,0.99760273041997,,,,
79,place,BEAR-TORCH,29,1,,8,20,5,1.098987676045577,4,4,6.5587469702222165,25.12860915487936,5.12860915487936,20.0,0.9825962772365573,,,,
79,failover,BEAR-TORCH,2,0,no_usable_backup,38,15,7,,2,,0.0,,,,,,,,
79,failover,BEAR-TORCH,3,1,,26,9,5,,2,,3.973918264415902,,,,,0,,,
79,failover,BEAR-TORCH,8,0,no_usable_backup,38,14,7,,5,,0.0,,,,,,,,
79,failover,BEAR-TORCH,9,1,,21,30,5,,3,,6.977408065108495,,,,,0,,,
79,failover,BEAR-TORCH,12,0,no_usable_backup,8,30,7,,3,,0.0,,,,,,,,
79,failover,BEAR-TORCH,18,1,,22,30,5,,3,,7.369648501278437,,,,,1,,,
79,failover,BEAR-TORCH,27,1,,27,26,3,,3,,6.6572269965401,,,,,0,,,
79,failover,BEAR-TORCH,29,1,,8,20,5,,4,,7.5911998831607725,,,,,2,,,
81,place,BEAR-TORCH,30,1,,1,24,3,1.224439748039117,3,3,3.674215262459055,13.28553911813691,4.285539118136909,9.0,0.9955434275780952,,,,
84,place,BEAR-TORCH,31,1,,3,22,5,0.8070170026969492,2,2,3.905914679231704,14.035085013484746,4.035085013484746,10.0,0.998309437205605,,,,
85,place,BEAR-TORCH,32,0,not_enough_disjoint_paths,36,5,3,1.409167853563824,4,0,,,,,,,,,
88,failover,BEAR-TORCH,27,0,no_usable_backup,27,26,3,,3,,0.0,,,,,,,,
91,place,BEAR-TORCH,33,1,,2,12,3,1.0476898584396226,4,4,5.424167614142155,16.539989386571698,4.539989386571698,12.0,0.9846492166574965,,,,
92,place,BEAR-TORCH,34,1,,33,20,7,0.4945479568793594,2,2,4.304788521578208,16.967287741276156,2.9672877412761562,14.0,0.9978185157999445,,,,
92,failover,BEAR-TORCH,6,0,no_usable_backup,5,23,3,,4,,0.0,,,,,,,,
93,place,BEAR-TORCH,35,1,,7,32,7,1.1335886997912805,2,2,6.074350133670126,20.801532198747683,6.801532198747683,14.0,0.99760273041997,,,,
95,place,BEAR-TORCH,36,0,not_enough_disjoint_paths,19,18,7,1.1447885747981679,4,0,,,,,,,,,
96,place,BEAR-TORCH,37,1,,35,31,3,0.6283412341811698,4,4,3.6696365047215154,13.88502370254351,1.8850237025435095,12.0,0.9917782528946434,,,,
97,place,BEAR-TORCH,38,1,,14,8,3,1.1138932447626695,3,3,4.811133445601703,12.898626356669343,3.898626356669343,9.0,0.9957517622956519,,,,
98,place,BEAR-TORCH,39,0,not_enough_disjoint_paths,13,31,5,0.9855117712223137,5,0,,,,,,,,,
0,place,BEAR-TORCH,40,1,,20,14,5,1.0843062903586143,3,3,5.577646470153766,19.337225161434457,4.337225161434457,15.0,0.9943871512307307,,,,
2,place,BEAR-TORCH,41,1,,28,34,3,0.9096099318345136,4,4,4.830940805270515,15.638439727338055,3.638439727338054,12.0,0.9867333133235936,,,,
3,place,BEAR-TORCH,42,1,,28,3,5,1.0465754803156697,4,4,6.844071703739383,24.884018908139794,4.884018908139792,20.0,0.9825962772365573,,,,
4,place,BEAR-TORCH,43,1,,12,8,3,0.7535458100588862,5,5,6.277790315913876,18.014183240235546,3.014183240235545,15.0,0.976077313584059,,,,
5,place,BEAR-TORCH,44,1,,38,10,7,1.3971701729147958,3,3,4.826562837182701,25.191510518744387,4.191510518744387,21.0,0.9967172526096819,,,,
6,place,BEAR-TORCH,45,1,,12,19,3,0.8976709996634382,2,2,3.320385843229523,10.488354998317192,4.488354998317192,6.0,0.998309437205605,,,,
7,place,BEAR-TORCH,46,1,,23,17,5,0.9914969778930026,5,5,5.799281265655312,28.96598791157201,3.96598791157201,25.0,0.9762629297240875,,,,
9,place,BEAR-TORCH,47,0,not_enough_disjoint_paths,21,2,3,1.1481156031350184,5,0,,,,,,,,,
10,place,BEAR-TORCH,48,0,not_enough_disjoint_paths,25,34,5,1.0251719920928086,5,0,,,,,,,,,
14,place,BEAR-TORCH,49,1,,19,2,5,0.7467508425507502,2,2,6.9193398149738705,15.974006740406,5.9740067404060015,10.0,0.9960082953087585,,,,
15,place,BEAR-TORCH,50,1,,24,27,3,0.9672548836598068,4,4,5.0960848470081554,15.869019534639227,3.869019534639227,12.0,0.9867333133235936,,,,
16,place,BEAR-TORCH,51,1,,22,15,7,1.021165019539125,2,2,5.3970128941688476,20.12699011723475,6.126990117234751,14.0,0.99760273041997,,,,
17,place,BEAR-TORCH,52,1,,17,4,5,1.311105925386366,5,5,4.292268194428303,28.277764813465915,3.2777648134659145,25.0,0.9890773948066419,,,,
19,place,BEAR-TORCH,53,1,,8,34,7,1.258246292331952,4,4,5.449614567331311,32.194154307773175,4.194154307773173,28.0,0.9906035706562066,,,,
